Species Name,0
Swamp Sparrow,191
Common Yellowthroat,160
Swainson's Thrush,127
Hermit Thrush,109
White-throated Sparrow,102
Golden-crowned Kinglet,93
Tennessee Warbler,92
Slate-colored Junco,91
Ovenbird,89
Nashville Warbler,74
Brown Creeper,62
Song Sparrow,55
Northern Waterthrush,52
Red-winged Blackbird,49
Lincoln's Sparrow,48
Fox Sparrow,46
Palm Warbler,43
Magnolia Warbler,38
Indigo Bunting,36
American Redstart,35
Ruby-crowned Kinglet,34
Gray-cheeked Thrush,33
Blackpoll Warbler,32
Veery,31
Black and White Warbler,30
White-crowned Sparrow,24
Orange-crowned Warbler,24
Savannah Sparrow,24
Myrtle Warbler,23
American Woodcock,22
Mourning Warbler,21
Yellow-bellied Sapsucker,21
Western Palm Warbler,19
Sora,19
Ruby-throated Hummingbird,19
Yellow-rumped Warbler,19
Gray Catbird,18
Red-eyed Vireo,17
American Robin,17
Wood Thrush,17
Red-breasted Nuthatch,17
Black and white Warbler,17
Canada Warbler,16
Blackburnian Warbler,15
American Tree Sparrow,15
Chestnut-sided Warbler,15
Black-throated Green Warbler,12
Belted Kingfisher,10
Mourning Dove,10
Yellow Warbler,10
Yellow-billed Cuckoo,10
Willow/Alder Flycatcher,10
Bay-breasted Warbler,9
Least Flycatcher,8
House Sparrow,8
Barn Swallow,8
Connecticut Warbler,8
Black-throated Blue Warbler,8
Marsh Wren,8
Grasshopper Sparrow,7
Golden-winged Warbler,7
Cape May Warbler,7
Yellow-shafted Flicker,7
European Starling,6
Yellow-bellied Flycatcher,6
Chimney Swift,6
Virginia Rail,6
House Finch,5
Willow Flycatcher,5
Scarlet Tanager,5
Northern Parula,5
Common Grackle,5
House Wren,5
Field Sparrow,4
Wilson's Warbler,4
Cliff Swallow,4
Black-billed Cuckoo,4
Brown Thrasher,4
Grey-cheeked Thrush,4
Eastern Wood-Pewee,3
American Goldfinch,3
Rose-breasted Grosbeak,3
Red-breasted Grosbeak,3
Baltimore Oriole,3
Brown-headed Cowbird,3
Grey Catbird,3
Warbling Vireo,3
Winter Wren,3
Eastern Towhee,3
White-breasted Nuthatch,2
Sedge Wren,2
thrush sp?,2
Tree Swallow,2
Wood Duck,2
Alder Flycatcher,2
Least Bittern,2
Blue-headed Vireo,2
Purple Finch,2
Dickcissel,2
Clay-colored Sparrow,2
Nelson's Sparrow,2
Chipping Sparrow,2
American Coot,2
Kentucky Warbler,2
Blue-winged Warbler,2
Bluejay,1
Dicksissel,1
Common Nighthawk,1
Yellow Shafted Flicker,1
Cedar Waxwing,1
Rock Pigeon,1
Downy Woodpecker,1
Black-crowned Night Heron,1
Yellow-throated Vireo,1
swallow wing,1
Bank Swallow,1
unidentified leg,1
unidentified thrush wing,1
Double-crested Cormorant,1
Eastern Phoebe,1
Eastern Meadowlark,1
Red-breasted Merganser,1
Red-bellied Woodpecker,1
Pine Warbler,1
Northern Rough-winged Swallow,1
Northern Cardinal,1
Lincoln Sparrow,1
Leconte's Sparrow,1
Swainson's Warbler,1
Hooded Merganser,1
Henslow Sparrow,1
Green Heron,1
Great Crested Flycatcher,1
Gray-cheeked thrush,1
Golden-winged Warb ler,1
Whip-poor-will,1
Eastern Wood PeeWee,1
warbler sp.?,1
